id,name,space_category,sub_space_category,product_type,detail_material,material_tag,style,furniture_color,description,tags
product22,Acura Dressing Table,Indoor,"Bedroom, Dressing Room",Dresser,"Medium-Density Fiberboard (MDF), Mirror Glass, Foam covered with Upholstery fabric",Wood,Scandinavian,"Sonoma Oak, Broken white (fabric)","Acura Dressing Table - Sonoma Oak is a table that is useful as a place to apply makeup. Designed with mirrors, shelves and drawers that can help someone beautify her appearance. With this dressing table, someone can have a more interesting makeup experience. Made from strong and durable PB board and MDF materials, so it can store the items well. It has Sonoma wood color which looks natural.",indoor bedroom dressing room dresser wood scandinavian
product23,Bed Side Table Markskel,Indoor,Bedroom,Side Table,Particleboard,Wood,Scandinavian,"White, Burlywood (top), Bronze (handle)","Bed Side Table Markskel is a cupboard table that is useful for storing the belongings such as books, cell phones, glasses, medicines and other items, also put a night light, drink, and tissue on top. Usually this table is placed next to the bed so it is easily accessible. Designed to have long legs and made from Foil Laminated PB Board which is commonly used to make household furniture. The material is strong and durable, so it can store items well. The white color make it looks luxurious and elegant.",indoor bedroom side table wood scandinavian
product24,Teak Relaxing Patio Chairs,Outdoor,"Terrace, Garden",Seat/Bench,"Frame: Teak Wood
Cushion: Cotton","Wood, Fabric",Classy,"Cushion: White
Frame: Light Brown","Teak Relaxing Patio Chairs, crafted with comfort and durability in mind. Made from high-quality teak wood, renowned for its strength and resistance to outdoor elements, these chairs are designed to withstand the test of time. With their ergonomic design and spacious seating area, they provide the perfect spot for unwinding and enjoying the outdoors. ",outdoor terrace garden seatbench wood fabric classy
product25,Classy Cream Marble Dining Table,Indoor,Dining Room,Dining Table,"Marble, Teak Wood","Stone, Wood",Classy,Salak Brown + Cream,Classy Cream Marble Dining Table is a dining table made of cream marble and teak wood. This table has a classic and elegant design that will add to the beauty of dining room. Classy Cream Marble Dining Table is the right choice for those who are looking for a classic and elegant dining table. Its timeless design and high-quality materials ensure this table will be a worthwhile investment for a home.,indoor dining room dining table stone wood classy
product26,Japanese Wooden Wardrobe,Indoor,"Bedroom, Dressing Room",Wardrobe,Teak Wood,Wood,Japanese Zen,Natural Teak,"This Japanese Wooden Wardrobe is a beautiful and functional furniture choice for your room. Made from high quality teak wood, this cupboard is sturdy and durable. The minimalist and modern design with a touch of Japanese Zen gives a neat and calm impression to the room.",indoor bedroom dressing room wardrobe wood japanese zen
product27,Accent Mawariza Rotate Tatami Chair,Indoor,"Living Room, Bedroom",Chair,"Fabric, Urethane foam & Wood","Fabric, Wood, Foam",Japanese Zen,"Wood: Beech
foam: light grey & dark grey",This fun tatami chair have the concept of “using traditional techniques to provide modern-style furniture that fits a modern lifestyle.” Skilled crafters;  best materials. It pursue high quality and offers furniture that lets you feel the warmth of wood that will last for many years.,indoor living room bedroom chair fabric wood foam japanese zen
product28,Raku Nightstand,Indoor,Bedroom,Drawer,Wood,Wood,Japanese Zen,"Dark Walnut, Honey Oak, Natural","The Raku Night Table is beautifully crafted from solid wood and wood composites. The single drawer Raku Nightstand is a sleek, modern piece designed to perfectly complement the bed. Featuring a single, seamless slide-out drawer mounted on a metal slide rail and an open space underneath, the Raku Nightstand offers versatile bedside storage for all your personal items.",indoor bedroom drawer wood japanese zen
product29,Round Glass Top Table,Indoor,Dining Room,Dining Table,Walnut Wood & Glass,"Wood, Glass",Japanese Zen,Natural Cherry; Autumn Cherry; Cognac Cherry; Saddle Cherry; Smoke Cherry; Natural Walnut,Two converging planes of solid walnut wood form the foundation of this Round Coffee Table. Topped with a round tempered glass top so you can enjoy the unique natural details of the walnut wood from every angle. This occasional table represents the best of both worlds as a sculptural art form and a versatile work surface all in one.,indoor dining room dining table wood glass japanese zen
product30,Summer Club Chair With Cushion,Outdoor,"Terrace, Garden",Seat/Bench,Teak Wood; Cushion: Upholstery Fabric,"Wood, Fabric",Japanese Zen,Canvas; Navy; Canvas Fawn; Charcoal,"The Summer Teak Outdoor Club Chair was designed with space and practicality in mind. It has a distinctive contemporary look but is intended for patios and larger outdoor spaces. The combination of long-lasting durability creates a great seating option for families who love being outdoors. A luxurious feel with a balance of strength and beauty creates furniture that will last for generations. Safe in full sun exposure. Minor assembly required. HiTeak outdoor furniture is made from premium, ecologically harvested teak wood, cut from the heart of the tree, making it immune from all types of weather damage. This teak product is assembled with 304 grade stainless steel hardware. New Teak has a natural honey gold color. If not cared for outdoors, exposed to sunlight and air, the honey color will soften to a light gray and after a few years a silvery patina, reflecting an elegant beauty that only improves with age. Clean occasionally with mild soapy water and a soft brush to remove surface dirt and stains or can be left without maintenance at all.",outdoor terrace garden seatbench wood fabric japanese zen
product31,Bamboo Bath & Sauna Mat,Indoor,Bathroom,Doormat,Premium Moso Bamboo,Bamboo,Japanese Zen,Natural; Walnut; Cherry,"This furniture makes a bath or shower area feel like a five-star spa with its Bamboo Bath & Sauna Mat. Made from premium Moso bamboo sustainably harvested in the Anji Mountains, China. The waterproof surface and non-slip soft plastic feet make this product ideal for use in bath, spa, sauna or hot tub areas.",indoor bathroom doormat bamboo japanese zen
product32,New Open Wardrobe or Coat Rack,Indoor,"Bedroom, Dressing Room",Wardrobe,"Iron, Oak","Metal, Wood",Industrial,Black & Pen On Oak,An open wardrobe or coat rack with a shoe compartment or bench that can be removed and used like a bench or side table. This wardrobe is flexible because it can adapt to people needs.,indoor bedroom dressing room wardrobe metal wood industrial
product33,Stainless and Bronze Kitchen Island,Indoor,Kitchen,Kitchen Island,"Stainless steel, Solid bronze couplings, Italian Carrara marble","Metal, Stone",Industrial,Silver,"The old plank kitchen island is crafted from stainless steel, solid bronze joints, and features three shelves cut from a single slab of imported Italian Carrara marble, with a honed finish. Top and shelf materials can be wire-brushed white oak, ebony walnut or mahogany, flesh top with marble shelves or old zinc top.",indoor kitchen kitchen island metal stone industrial
product34,Silver Glass Rounded Edges Mirror,Indoor,"Bedroom, Dressing Room, Bathroom, Living Room",Mirror,Iron; Mirror; Silver Leaf,"Metal, Glass",Industrial,Silver,"Each mirror is a unique handmade piece, characterized by Italian quality and taste. Not only Industrial-style-lovers will appreciate these mirrors. They suit both Industrial style open space lofts and Classic elegant interiors seeking for eclectic and glam effect, offices, restaurants or shops which need a touch of grit. They can be hang or kept on the floor as floor mirror",indoor bedroom dressing room bathroom living room mirror metal glass industrial
product35,ZenStyle Round Coffee Table,"Indoor, Outdoor","Kitchen, Dining Room, Living Room, Balcony, Terrace",Coffee Table,"Engineered wood, Metal","Wood, Metal",Industrial,Leg: Black; Round Table: Brown,"This round coffee table is sturdy and high-quality, featuring a durable MDF wood top and thick metal frame with a 130-pound load-bearing capacity. Its retro industrial style design adds elegant charm to any room, while its multipurpose use makes it suitable for various rooms in the home. It's easy to assemble and clean, with adjustable foot pads to prevent floor scratching.",indoor outdoor kitchen dining room living room balcony terrace coffee table wood metal industrial
product36,Industrial Teak Wardrobe,Indoor,"Bedroom, Dressing Room",Wardrobe,"Teak Wood, Stainless Steel","Wood, Metal",Industrial,"Natural Doff, Black (Steel)","This Teak Industrial Wardrobe is a stylish and functional furniture choice for your room. Made from high quality teak wood and combined with iron, this cupboard is sturdy, durable and gives a unique industrial touch to a room.",indoor bedroom dressing room wardrobe wood metal industrial
product37,Dining Chair Industrial-style,Indoor,Dining Room,Dining Chair,"Steel, Wood coated in Furniture Wax","Metal, Wood, Wax",Industrial,Leg: Black; Dark Oak Briwax,"These handcrafted dining chairs are inspired by rustic industry. These chairs have a fully welded steel frame, horizontal backrest, and rustic wood. The item shown is finished in Dark Oak color choice, the table with Trapezium legs is also finished in Dark Oak Briwax color. Plastic foot inserts are included to ensure no scratches to any floors. Meanwhile the wood is sanded down to ensure a smooth, splinter-free finish before finishing with premium furniture wax which stains and protects the wood, available in a wide range of colours. The steel frame is lightly stressed and finished with a clear varnish to prevent rust.",indoor dining room dining chair metal wood wax industrial
product38,Hzuaneri Storage Cabinet,Indoor,Bathroom,Cabinet,"Particleboard, Steel","Wood, Metal",Rustic,"Rustic Brown, Black (steel)","Designed for small spaces, this compact bathroom cabinet comes with 4 wheels for easy mobility. It offers versatile storage options, including a closed bottom cabinet for cleaning supplies, adjustable shelves, and a toilet paper holder. The setup of the toilet paper holder ensures convenience, and the cabinet can be placed on either side thanks to its open-shelf design. Additionally, the cabinet is stable and durable, crafted from quality particleboard and steel, with an anti-tip kit for added stability.",indoor bathroom cabinet wood metal rustic
product39,Antique Rustic Bathtub Stool,Indoor,Bathroom,Stool,Birch Wood,Wood,Rustic,Cinereous; Sanguine Brown,"Antique bench with a weathered natural wood look. The original table top and legs remain in good condition. These vintage antique stools were used in restaurants and farmhouses 50-80 years ago, have a beautiful patina on the top and legs, mostly with a weathered natural wood look, seat length is about 10 inches, and 18-21 inches high .",indoor bathroom stool wood rustic
product40,Flash Furniture Harrison Rustic Farmhouse,Indoor,"Bedroom, Living Room",Cabinet,"Engineered wood, Black metal hardware","Wood, Metal",Rustic,"Graywash, Black, White","Rustic charm meets modern functionality in this farmhouse-style storage closet featuring sliding barn doors for open and closed storage. With 4 adjustable heights and 2 fixed shelves and crafted from durable engineered wood, each shelf can hold up to 25 pounds, static weight. Complementary black metal hardware adorns this wooden storage cabinet that is ideal for any room in the home.",indoor bedroom living room cabinet wood metal rustic
product41,Antique Wood Cocktail Sofa Side Table,Indoor,"Living Room, Bedroom, Kitchen, Bars",Side Table,Oak Wood,Wood,Rustic,Brown / Black/ Natural,"Do you enjoy sipping coffee in the early morning or unwinding with a cocktail after work? These moments can be made even more comfortable with the addition of a fine accent cocktail table. Enter this antique wood cocktail table, crafted from durable solid ash wood and oak wood, ensuring both durability and beauty. Its special slim design allows it to snugly fit next to a chair, sofa, or bed, providing a convenient landing spot for books or drinks. The table's simple yet elegant antique look adds versatility to any space, whether it's placed in the living room or bedroom, enhancing the room's aesthetic appeal. Not limited to just one room, this table can be used in the living room, bedroom, kitchen, or bars, making it a versatile piece of furniture. Plus, it makes for a thoughtful gift on occasions like Mother's Day, birthdays, housewarmings, Thanksgiving, or Christmas.",indoor living room bedroom kitchen bars side table wood rustic
product42,Grimsby Solid Wood Armoire,Indoor,"Bedroom, Dressing Room",Wardrobe,Pine Solid Wood,Wood,Rustic,Dutch White,The possibilities are endless with this versatile and functional cabinet. Use it as a wardrobe closet for extra storage space in a bedroom and use this as a pantry or storage cabinet for any other room.,indoor bedroom dressing room wardrobe wood rustic
product43,Amarapal Butterfly Leaf Dining Table,Indoor,"Dining Room, Kitchen",Dining Table,High-grade MDF and Wood Veneer,Wood,Rustic,"
Black","Gather friends and family for Sunday brunch or a celebratory meal around this dining table, featuring a planked top and natural finish. Dress it with a burlap runner and blooming hydrangeas for chic country style, or let it be a rustic anchor for crisp plates and crystal-serve ware. The self-contained butterfly leaf will easily accommodate larger gatherings or a growing family. The antique finish and distressed detailing create a warm, countryside feel.",indoor dining room kitchen dining table wood rustic
product44,Jayden Rustic Lodge Natural Teak Wood,Outdoor,"Terrace, Garden",Armchair,Teak Wood,Wood,Rustic,Natural Teak,Constructed from premium teak responsibly harvested from well-managed plantations. Finished in natural teak. Features deep sloping seat with a perfectly pitched back. Slated tops and seats allow water to pass through eliminating puddling and standing water; Teak is a prized timber for outdoor furniture resistant to rotting insects and the effects of wind rain sun and freezing; Hand Sanded finish which starts off a light golden color and if left untreated mellows to a soft silvery grey; The hardware and steel parts are marine-grade stainless steel and will not rust.,outdoor terrace garden armchair wood rustic
product45,Mid Century Modern Fabric Accent Chair,Indoor,"Bedroom, Living Room",Armchair,"Engineered hardwood, High-resiliency foam wrapped in poly-fiber cushion, Polyester-acrylic blend fabric","Wood, Fabric, Foam",Mid-Century Modern,"Beige, Light Grey, Fainting Light
Dark Charcoal (legs)","Flared arms, tapered conical legs, nestled cushions and a chamfered back all speak to the style's timeless chic, while the exposed wood legs and rail showcase an on-trend bleached oak finish. Upholstered in a nubby polyester-acrylic blend, the chair sits low and loungey with a poly/fiber-wrapped foam seat cushion for medium-firm support. ",indoor bedroom living room armchair wood fabric foam midcentury modern
product46,Accent Leisure Chair,Indoor,"Bedroom, Living Room",Armchair,"Material: Rubberwood Frame, Cotton-Linen Seat Surface, Foam
Frame Material: Rubberwood
Seat Material Type: Foam","Wood, Fabric, Foam",Mid-Century Modern,"Coffee Brown, Classic Black, Beige, Lake Blue, Olive Green","This furniture provides comfort with an armchair covered in soft leather-like fabric, equipped with a large seat cushion, S springs, and elastic wrap for sturdy support and unmatched softness. Offering a more spacious seating experience than standard chairs, with a cushion width of 22 inches and a depth of 20 inches, it is perfect for relaxing, working or unwinding. Built to last, the solid wood legs can support up to 242 lbs and come with protective feet to prevent floor scratches. With mid-century modern charm, this versatile accent chair is suitable for any space, whether for living room chats, bedroom relaxation, study reading sessions, productive office work, or additional seating in the reception area.",indoor bedroom living room armchair wood fabric foam midcentury modern
product47,Playful Pop Art Metal Side Table,Indoor,Living Room,Coffee Table,Galvanized Steel with High Quality Powder Coating,Metal,Pop-Art,"Apricot, Blue, Flamenco Red","Here's why some people love Playful Design: it adds a burst of color and joy to any space, making a bold statement wherever it's placed. Crafted from eco-friendly materials like recyclable 1.5 mm Galvanized Steel and non-toxic PPC paint, it's both safe and vibrant, free from harmful substances. This versatile piece serves multiple purposes, whether as a nightstand beside your bed or a stylish coffee table in the living room, providing ample space for your essentials while remaining practical and chic. Suitable for every room, from a child's playroom to the sophisticated setting of a living room, it seamlessly integrates into any environment. Handcrafted with meticulous attention to detail, each table exemplifies quality craftsmanship, boasting a smooth finish that withstands the test of time. With its solid, one-piece design, it arrives ready to use with no assembly required, embodying pure, playful elegance from the moment it arrives at your doorstep.",indoor living room coffee table metal popart
product48,Neon Acrylic Coffee Table,Indoor,Living Room,Coffee Table,"Acrylic Glass, Mirror Glass",Acrylic,Pop-Art,"Neon Yellow, Neon Pink, Neon Green, Neon Blue","Neon Acrylic coffee table, a stunning piece meticulously crafted from neon fluorescent acrylic. The contemporary design boasts wavy, abstract legs that infuse a sense of dynamic modernity into any room. Mirror accents on the legs elevate the modern aesthetic, creating a timeless masterpiece that seamlessly integrates into pop-art maximalist decor. The table consists of three pieces, including two effortlessly interlocking legs and a round top. No need for gluing or screwing; the assembly is a breeze. The top is available in a vibrant neon yellow or neon pink. What sets Modern Elegance apart is its ability to seemingly emanate light from within. The neon acrylic edges reflect ambient light, giving the table a captivating self-illuminating effect. This table is not just furniture; it's also a modern art.",indoor living room coffee table acrylic popart
product49,Pop Art Color Block Chair,Indoor,Living Room,Chair,"Frame: Maple Wood
Seat: Suede Leather","Wood, Leather",Pop-Art,"Frame: Blue, Red, Yellow
Seat: Broken White","The Pop Art Color Block Chair is a statement piece that injects a burst of energy into any living space. Crafted from a sturdy maple wood frame, the chair features a color block design in a vibrant combination of blue, red, and yellow. The contrasting colors are sure to grab attention and spark conversation. The comfortable faux leather seat, in a crisp broken white, provides a perfect complement to the bold frame. This chair is not only a conversation starter but a comfortable and functional piece of art for your home.",indoor living room chair wood leather popart
product50,Vitis Stool,Indoor,"Living Room, Kitchen",Stool,Wood,Wood,Pop-Art,"Red, Yellow, Green, Black","Playfully inspired by screws, this wooden stool is a stylish piece distinguished by a turned silhouette of striking dynamism. A vibrant glossy color lacquer marks the piece, lending it a sunny personality perfect for adding a pop of color to interiors.",indoor living room kitchen stool wood popart
product51,Roundel Red Dining Table Italy,Indoor,Living Room,Coffee Table,Polyurethane Glass,"Plastic, Glass",Pop-Art,Red,"Marked by an elegant, sculptural quality, this stunning dining table designed by Claesson Koivisto Rune seems to be created on the potter's wheel. The elegant silhouette is painted in red lacquer and includes a pillar base of rigid structural polyurethane supporting a round top of extra-clear tempered glass. The under-top features concentric red circles in three tones of red, a contrasting color detail that catches the eye. Available also with top in semi-gloss black oak veneer, black Maquina marble, and extra-clear glass with black lacquered finish.",indoor living room coffee table plastic glass popart
product52,Mid Century Modern Oak Dresser,Indoor,"Living Room, Bedroom",Drawer,"Oak Wood, Steel (Handle)",Wood,Mid-Century Modern,"Natural Oak, Bronze (Handle)","This handcrafted oak dressing table has nine spacious drawers, providing ample storage space. Every detail of this piece is carefully crafted by hand to enhance its natural beauty, reflecting a dedication to perfection. The modern design of this dressing table exudes elegance and functionality, making it a stunning addition to any room. Each drawer operates smoothly and the inside is very clean. Equipped with wooden drawer slides, this dresser features a wax seal and high-performance top coat for added durability.",indoor living room bedroom drawer wood midcentury modern
product53,Sunset West Pietra Mid Century Graphite Aluminum Square Outdoor End Table,Outdoor,"Terrace, Garden",Side Table,Aluminum,Metal,Mid-Century Modern,Graphite Aluminum,"Sunset West Pietra Mid Century Graphite Aluminum Square Outdoor End Table embodies the essence of mid-century modern design, offering elegance and functionality. Crafted from stainless aluminum with a sleek graphite finish, it exudes a contemporary and minimalist feel. Its boxy yet slim silhouette allows for easy placement in indoor or outdoor environments. Featuring a timeless design, this table easily complements a variety of decorating styles. Constructed from rust- and weather-resistant aluminum, it withstands outdoor elements with ease. With its large surface area, you can comfortably place drinks, snacks, books or decorations. Supported by sturdy aluminum legs, this table guarantees stability and durability for years to come.",outdoor terrace garden side table metal midcentury modern
product54,Ordin Mid Century Modern Black Acacia Wood Round Coffee Table - Small,Indoor,Living Room,Coffee Table,Acacia Wood,Wood,Mid-Century Modern,Black,"The Ordin Mid Century Modern Black Acacia Wood Round Coffee Table is the epitome of style and functionality. Crafted from high-quality black acacia wood, it boasts a modern and sophisticated appearance. With its rounded shape and slim legs, it exudes a unique mid-century modern charm. This versatile table is suitable for various rooms, such as the living room, family room, or den. It serves multiple purposes, from holding food and drinks to displaying decorations or providing a surface for work or leisure activities, like using a laptop. Its high-quality materials, stylish design, and practical functionality make it an excellent addition to any space.",indoor living room coffee table wood midcentury modern
product55,Villa & House Astor Mid Century Modern White Wood Grasscloth Cabinet,Indoor,Dining Room,Cabinet,"Wood and Grasscloth, Steel (handle)","Wood, Bamboo",Mid-Century Modern,"White, Dutch White (grasscloth), Brass (handle)",The Villa & House Astor Mid-Century Modern White Wood Grasscloth Cabinet is a versatile storage cabinet that combines clean lines with a touch of texture.  This cabinet features a white wooden frame with two woven grasscloth doors and brass handles.,indoor dining room cabinet wood bamboo midcentury modern
product56,Dixie Furniture Cream Painted Shabby Chic,Indoor,"Living Room, Bedroom",Drawer,"Wood
Handle: Stainless Steel",Wood,Shabby Chic,"Banana Ice Cream, Handle: Black","The Dixie Furniture Cream Painted Shabby Chic Closet is a charming rustic style wardrobe with a modern twist. This cupboard is made of solid wood and painted in a soft cream color, giving it a charming vintage impression. This cupboard has four spacious drawers for storing various items, such as clothes, blankets or books. Its advantages include high-quality materials, a beautiful design, durability, sturdiness, and spacious storage, making it an ideal addition to any space.",indoor living room bedroom drawer wood shabby chic
